Codigo,Sigla,Nome,Regente
43460,agr,Arquitectura e Gestão de Redes,N/A
43948,E,Empreendedorismo,N/A
44139,CM,Computação Móvel,N/A
44153,sgr,Segurança e Gestão de Risco,N/A
44156,vi,Visualização de Informação,N/A
44158,ws,Web Semântica,N/A
45423,ICG,Introdução à Computação Gráfica,N/A
45424,ICM,Introdução à Computação Móvel,N/A
45426,TQS,Teste e Qualidade de Software,N/A
45587,ED,Exploração de Dados,N/A
45628,AII,Análise e Interpretação de Imagem,N/A
45656,thier,Teoria e História da Integração Europeia e Regional,N/A
45658,epp,Europa e Políticas de População,N/A
45660,gd,Governo Digital,N/A
45733,gip,Gestão Integrada de Projectos,N/A
45916,adpe,Análise de Dados e Planeamento Experimental,N/A
46402,ms,Mecânica dos Sólidos,N/A
46441,LIT,Laboratório de Internacionalização em Turismo,N/A
46445,mc,Mecânica Computacional,N/A
46456,MED,Marketing e Estratégias Digitais,N/A
46504,tac,Tecnologias de Accionamento e Comando,N/A
46526,CNC,Comando Numérico Por Computador,N/A
46660,ES,Educação para a Sustentabilidade,N/A
46873,ef,Estudos de Fotografia,N/A
47053,CV,Computação Visual,N/A
47134,iaps,Introdução à Análise e Processamento de Sinal,N/A
47138,IEI,Introdução à Engenharia Informática,N/A
47166,MD,Matemática Discreta,N/A
47169,mc,Mecânica Clássica,N/A
47171,MO,Mecânica e Oscilações,N/A
47237,spt,Simulação de Processos Tecnológicos,N/A
47268,to,Teoria das Organizações,N/A
47280,ge,Genética e Evolução,N/A
47460,ad,Análise de Dados,N/A
47475,AGP,Avaliação e Gestão de Projectos,N/A
47501,CR,Computação Reconfigurável,N/A
47527,dpidt,Desenvolvimento e Planeamento Integrado de Destinos Turísticos,N/A
47553,ece,Empreendedorismo e Criação de Empresas,N/A
47573,em,Estatística Multivariada,N/A
47576,ec,Estratégia e Competitividade,N/A
47610,ge,Gestão de Energia,N/A
47634,i,Inglês I,N/A
47677,mif,Mercados e Instrumentos Financeiros,N/A
47691,MIO,Métodos de Investigação Operacional,N/A
47705,mpn,Modelos e Processos de Negócio,N/A
47739,per,Política Energética e Regulação,N/A
47789,rpc,Relações Político-culturais,N/A
47793,ri,Robótica Industrial,N/A
47800,s,Servomecanismos,N/A
47810,svpi,Sistemas de Visão e de Percepção Industrial,N/A
47814,se,Sociologia da Educação,N/A
47837,tc,Teoria da Computação,N/A
47884,gqs,Gestão da Qualidade em Serviços,N/A
47934,hcl,História e Cultura do Livro,N/A
47975,RSI,Redes e Serviços em Imagiologia,N/A
47977,csf,Comunicações Sem Fios,N/A
47978,ebp,Electrónica de Baixa Potência,N/A
48104,n,Neurobiologia,N/A
49903,,49903-S_9916 Seminário - Nanociências e Nanotecnologia,N/A
49983,PEE,Projecto em Engenharia Electrotécnica,N/A
81156,CCA,Competências Comunicacionais Aplicadas,N/A
81485,IF,Investimentos Financeiros,N/A
81512,ACP,Análise e Controlo de Projetos,N/A
81547,TAD,Técnicas de Análise de Dados,N/A
82130,ME,Marketing Estratégico,N/A
82504,CC,Comportamento do Consumidor,N/A
84314,GMCD,Gestão Marketing e Comunicação Digital,N/A
84319,PW,Programação Web,N/A
